ts,market,mid,news_score,imbalance,posterior,fair,confidence
2026-06-01T13:30:00+00:00,KX_BIRDFLU_US_2026,0.4213,0.0,-0.28042,0.417,0.42035,0.22011
2026-06-01T13:30:00+00:00,PM_HEATWAVE_EU_2026,0.35995,0.0,-0.59839,0.35131,0.35736,0.2996
2026-06-01T13:30:00+00:00,PM_HURRICANE_FL_2026,0.3086,0.0,0.19481,0.31122,0.30912,0.1987
2026-06-01T13:30:10+00:00,KX_BIRDFLU_US_2026,0.41745,0.0,-0.29167,0.41299,0.41646,0.22292
2026-06-01T13:30:10+00:00,PM_HEATWAVE_EU_2026,0.357,0.0,0.38346,0.36256,0.35837,0.24586
2026-06-01T13:30:10+00:00,PM_HURRICANE_FL_2026,0.3098,0.0,0.62963,0.31835,0.31243,0.30741
2026-06-01T13:30:20+00:00,KX_BIRDFLU_US_2026,0.41935,0.0,-0.71569,0.40841,0.41575,0.32892
2026-06-01T13:30:20+00:00,PM_HEATWAVE_EU_2026,0.35495,0.0,0.28421,0.35906,0.35586,0.22105
2026-06-01T13:30:20+00:00,PM_HURRICANE_FL_2026,0.30455,0.0,0.64345,0.3132,0.30724,0.31086
2026-06-01T13:30:30+00:00,KX_BIRDFLU_US_2026,0.4214,0.0,-0.38462,0.4155,0.41995,0.24615
2026-06-01T13:30:30+00:00,PM_HEATWAVE_EU_2026,0.35205,0.0,-0.00704,0.35195,0.35203,0.15176
2026-06-01T13:30:30+00:00,PM_HURRICANE_FL_2026,0.30355,0.0,0.21194,0.30638,0.30412,0.20299
2026-06-01T13:30:40+00:00,KX_BIRDFLU_US_2026,0.42255,0.0,0.02956,0.423,0.42262,0.15739
2026-06-01T13:30:40+00:00,PM_HEATWAVE_EU_2026,0.3512,0.0,-0.2381,0.34779,0.35049,0.20952
2026-06-01T13:30:40+00:00,PM_HURRICANE_FL_2026,0.3029,0.0,0.58423,0.31073,0.30522,0.29606
2026-06-01T13:30:50+00:00,KX_BIRDFLU_US_2026,0.4173,0.0,-0.5,0.40966,0.4152,0.275
2026-06-01T13:30:50+00:00,PM_HEATWAVE_EU_2026,0.35875,0.0,0.30244,0.36314,0.35974,0.22561
2026-06-01T13:30:50+00:00,PM_HURRICANE_FL_2026,0.3033,0.0,0.13292,0.30507,0.30362,0.18323
2026-06-01T13:31:00+00:00,KX_BIRDFLU_US_2026,0.4162,0.0,0.38817,0.42215,0.41767,0.24704
2026-06-01T13:31:00+00:00,PM_HEATWAVE_EU_2026,0.3611,0.0,0.03258,0.36157,0.36117,0.15815
2026-06-01T13:31:00+00:00,PM_HURRICANE_FL_2026,0.3038,0.0,-0.41667,0.29828,0.3024,0.25417
2026-06-01T13:31:10+00:00,KX_BIRDFLU_US_2026,0.41265,0.0,0.08532,0.41395,0.41287,0.17133
2026-06-01T13:31:10+00:00,PM_HEATWAVE_EU_2026,0.3663,0.0,0.65714,0.37596,0.36934,0.31429
2026-06-01T13:31:10+00:00,PM_HURRICANE_FL_2026,0.30095,0.0,0.20848,0.30372,0.30151,0.20212
2026-06-01T13:31:20+00:00,KX_BIRDFLU_US_2026,0.41065,0.0,-0.32903,0.40564,0.40949,0.23226
2026-06-01T13:31:20+00:00,PM_HEATWAVE_EU_2026,0.36985,0.0,-0.15584,0.36756,0.36942,0.18896
2026-06-01T13:31:20+00:00,PM_HURRICANE_FL_2026,0.2998,0.0,-0.46626,0.29367,0.29817,0.26656
2026-06-01T13:31:30+00:00,KX_BIRDFLU_US_2026,0.406,0.0,-0.79767,0.39394,0.40179,0.34942
2026-06-01T13:31:30+00:00,PM_HEATWAVE_EU_2026,0.3656,0.0,-0.11286,0.36395,0.36531,0.17822
2026-06-01T13:31:30+00:00,PM_HURRICANE_FL_2026,0.30145,0.0,0.6954,0.31075,0.30446,0.32385
2026-06-01T13:31:40+00:00,KX_BIRDFLU_US_2026,0.4028,0.0,-0.55405,0.39443,0.40039,0.28851
2026-06-01T13:31:40+00:00,PM_HEATWAVE_EU_2026,0.3634,0.0,0.52632,0.3711,0.36557,0.28158
2026-06-01T13:31:40+00:00,PM_HURRICANE_FL_2026,0.30075,0.0,0.18577,0.30322,0.30123,0.19644
2026-06-01T13:31:50+00:00,KX_BIRDFLU_US_2026,0.4023,0.0,-0.39796,0.39629,0.4008,0.24949
2026-06-01T13:31:50+00:00,PM_HEATWAVE_EU_2026,0.36685,0.0,-0.13274,0.36491,0.36649,0.18319
2026-06-01T13:31:50+00:00,PM_HURRICANE_FL_2026,0.30065,0.0,-0.43871,0.29487,0.29915,0.25968
2026-06-01T13:32:00+00:00,KX_BIRDFLU_US_2026,0.40555,0.0,-0.57724,0.39681,0.40298,0.29431
2026-06-01T13:32:00+00:00,PM_HEATWAVE_EU_2026,0.36415,0.0,-0.09756,0.36273,0.3639,0.17439
2026-06-01T13:32:00+00:00,PM_HURRICANE_FL_2026,0.2975,0.0,-0.10959,0.29606,0.29724,0.1774
2026-06-01T13:32:10+00:00,KX_BIRDFLU_US_2026,0.40715,0.0,-0.47692,0.39992,0.4052,0.26923
2026-06-01T13:32:10+00:00,PM_HEATWAVE_EU_2026,0.3672,0.0,-0.07059,0.36617,0.36703,0.16765
2026-06-01T13:32:10+00:00,PM_HURRICANE_FL_2026,0.29595,0.0,-0.67164,0.28721,0.29317,0.31791
2026-06-01T13:32:20+00:00,KX_BIRDFLU_US_2026,0.407,0.0,-0.55556,0.39858,0.40457,0.28889
2026-06-01T13:32:20+00:00,PM_HEATWAVE_EU_2026,0.3681,0.0,-0.0365,0.36757,0.36801,0.15912
2026-06-01T13:32:20+00:00,PM_HURRICANE_FL_2026,0.2967,0.0,0.08029,0.29776,0.29688,0.17007
2026-06-01T13:32:30+00:00,KX_BIRDFLU_US_2026,0.4069,0.0,0.36122,0.4124,0.40822,0.2403
2026-06-01T13:32:30+00:00,PM_HEATWAVE_EU_2026,0.36435,0.0,0.07317,0.36542,0.36453,0.16829
2026-06-01T13:32:30+00:00,PM_HURRICANE_FL_2026,0.29725,0.0,-0.4381,0.29152,0.29576,0.25952
2026-06-01T13:32:40+00:00,KX_BIRDFLU_US_2026,0.41025,0.0,0.16107,0.41271,0.41072,0.19027
2026-06-01T13:32:40+00:00,PM_HEATWAVE_EU_2026,0.3685,0.0,-0.40334,0.36261,0.36702,0.25084
2026-06-01T13:32:40+00:00,PM_HURRICANE_FL_2026,0.29525,0.0,0.35652,0.29994,0.29637,0.23913
2026-06-01T13:32:50+00:00,KX_BIRDFLU_US_2026,0.4058,0.0,0.55313,0.41423,0.40823,0.28828
2026-06-01T13:32:50+00:00,PM_HEATWAVE_EU_2026,0.3636,0.0,0.73333,0.37436,0.36719,0.33333
2026-06-01T13:32:50+00:00,PM_HURRICANE_FL_2026,0.29895,0.0,-0.41553,0.29349,0.29756,0.25388
2026-06-01T13:33:00+00:00,KX_BIRDFLU_US_2026,0.41115,0.0,-0.18868,0.40828,0.41058,0.19717
2026-06-01T13:33:00+00:00,PM_HEATWAVE_EU_2026,0.36615,0.0,-0.37391,0.3607,0.36482,0.24348
2026-06-01T13:33:00+00:00,PM_HURRICANE_FL_2026,0.30405,0.0,-0.25,0.30073,0.30334,0.2125
2026-06-01T13:33:10+00:00,KX_BIRDFLU_US_2026,0.411,0.0,0.625,0.42056,0.41393,0.30625
2026-06-01T13:33:10+00:00,PM_HEATWAVE_EU_2026,0.36405,0.0,0.01056,0.3642,0.36407,0.15264
2026-06-01T13:33:10+00:00,PM_HURRICANE_FL_2026,0.3042,0.0,0.76978,0.31456,0.30775,0.34245
2026-06-01T13:33:20+00:00,KX_BIRDFLU_US_2026,0.41515,0.0,0.12079,0.417,0.41548,0.1802
2026-06-01T13:33:20+00:00,PM_HEATWAVE_EU_2026,0.36245,0.0,0.13934,0.36448,0.36283,0.18484
2026-06-01T13:33:20+00:00,PM_HURRICANE_FL_2026,0.3044,0.0,-0.01562,0.30419,0.30437,0.15391
2026-06-01T13:33:30+00:00,KX_BIRDFLU_US_2026,0.4164,0.0,-0.57692,0.4076,0.41381,0.29423
2026-06-01T13:33:30+00:00,PM_HEATWAVE_EU_2026,0.3664,0.0,-0.31935,0.36174,0.36533,0.22984
2026-06-01T13:33:30+00:00,PM_HURRICANE_FL_2026,0.30375,0.0,0.7457,0.31378,0.30712,0.33643
2026-06-01T13:33:40+00:00,KX_BIRDFLU_US_2026,0.42035,0.0,-0.18451,0.41752,0.4198,0.19613
2026-06-01T13:33:40+00:00,PM_HEATWAVE_EU_2026,0.36975,0.0,-0.0892,0.36844,0.36952,0.1723
2026-06-01T13:33:40+00:00,PM_HURRICANE_FL_2026,0.30305,0.0,-0.23547,0.29993,0.3024,0.20887
2026-06-01T13:33:50+00:00,KX_BIRDFLU_US_2026,0.42085,0.0,-0.70306,0.41009,0.41735,0.32576
2026-06-01T13:33:50+00:00,PM_HEATWAVE_EU_2026,0.3742,0.0,0.23762,0.37771,0.37494,0.20941
2026-06-01T13:33:50+00:00,PM_HURRICANE_FL_2026,0.2991,0.0,-0.24722,0.29585,0.29841,0.2118
2026-06-01T13:34:00+00:00,KX_BIRDFLU_US_2026,0.42305,0.0,0.03509,0.42359,0.42314,0.15877
2026-06-01T13:34:00+00:00,PM_HEATWAVE_EU_2026,0.3748,0.0,-0.72603,0.36414,0.37127,0.33151
2026-06-01T13:34:00+00:00,PM_HURRICANE_FL_2026,0.30175,0.0,0.07021,0.30268,0.30191,0.16755
2026-06-01T13:34:10+00:00,KX_BIRDFLU_US_2026,0.424,0.0,0.55556,0.43257,0.42648,0.28889
2026-06-01T13:34:10+00:00,PM_HEATWAVE_EU_2026,0.37985,0.0,0.67914,0.38998,0.38309,0.31979
2026-06-01T13:34:10+00:00,PM_HURRICANE_FL_2026,0.3024,0.0,0.13617,0.30421,0.30273,0.18404
2026-06-01T13:34:20+00:00,KX_BIRDFLU_US_2026,0.4243,0.0,-0.16088,0.42183,0.42383,0.19022
2026-06-01T13:34:20+00:00,PM_HEATWAVE_EU_2026,0.3718,0.0,0.19122,0.37462,0.37236,0.19781
2026-06-01T13:34:20+00:00,PM_HURRICANE_FL_2026,0.30225,0.0,0.5015,0.30895,0.3041,0.27538
2026-06-01T13:34:30+00:00,KX_BIRDFLU_US_2026,0.4235,0.0,0.27684,0.42776,0.42443,0.21921
2026-06-01T13:34:30+00:00,PM_HEATWAVE_EU_2026,0.3791,0.0,0.41441,0.38526,0.38066,0.2536
2026-06-01T13:34:30+00:00,PM_HURRICANE_FL_2026,0.2951,0.0,-0.17094,0.29286,0.29467,0.19274
2026-06-01T13:34:40+00:00,KX_BIRDFLU_US_2026,0.4236,0.0,-0.18672,0.42073,0.42304,0.19668
2026-06-01T13:34:40+00:00,PM_HEATWAVE_EU_2026,0.38045,0.0,-0.05042,0.3797,0.38033,0.16261
2026-06-01T13:34:40+00:00,PM_HURRICANE_FL_2026,0.2961,0.0,0.35323,0.30076,0.29721,0.23831
2026-06-01T13:34:50+00:00,KX_BIRDFLU_US_2026,0.4275,0.0,0.45263,0.43449,0.42934,0.26316
2026-06-01T13:34:50+00:00,PM_HEATWAVE_EU_2026,0.3799,0.0,-0.09046,0.37856,0.37967,0.17262
2026-06-01T13:34:50+00:00,PM_HURRICANE_FL_2026,0.29725,0.0,-0.00697,0.29716,0.29724,0.15174
2026-06-01T13:35:00+00:00,KX_BIRDFLU_US_2026,0.4258,0.0,0.3271,0.43085,0.42697,0.23178
2026-06-01T13:35:00+00:00,PM_HEATWAVE_EU_2026,0.38095,0.0,-0.21508,0.37776,0.3803,0.20377
2026-06-01T13:35:00+00:00,PM_HURRICANE_FL_2026,0.29705,0.0,0.54054,0.30421,0.29909,0.28514
2026-06-01T13:35:10+00:00,KX_BIRDFLU_US_2026,0.43055,0.0,-0.2194,0.42716,0.42986,0.20485
